DATAFLOW,LAST UPDATE,freq,nutrient,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2018,4905,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2019,6071,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2008,33000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2009,46000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2010,40000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2011,34000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2012,38000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2013,38674,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2014,35031,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2015,34718,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2016,36413,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2017,37963,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2018,41402,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EL,2019,43121,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2008,149000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2009,181000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2010,196000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2011,174000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2012,176000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2013,189208,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2014,179850,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2015,164463,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2016,173123,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2017,178263,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2018,177504,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EL,2019,183484,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EL,2008,28000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EL,2009,33000,
